Monday 8:00 AM,82.1288105482
Monday 9:00 AM,81.4019289569
Monday 10:00 AM,61.7813815364
Monday 11:00 AM,90.8021328553
Monday 12:00 PM,73.2987312377
Monday 1:00 PM,88.0130206268
Monday 2:00 PM,62.669422945
Monday 3:00 PM,94.0153569463
Monday 4:00 PM,86.5537601261
Monday 5:00 PM,82.2319616372
Monday 6:00 PM,77.8973805774
Monday 7:00 PM,78.886385971
Tuesday 8:00 AM,76.4939452144
Tuesday 9:00 AM,86.7935258
Tuesday 10:00 AM,72.2772998524
Tuesday 11:00 AM,80.6212575291
Tuesday 12:00 PM,84.7856375405
Tuesday 1:00 PM,83.6177876146
Tuesday 2:00 PM,57.6601889189
Tuesday 3:00 PM,91.0271512007
Tuesday 4:00 PM,94.3413448637
Tuesday 5:00 PM,69.0989328677
Tuesday 6:00 PM,74.9388671444
Tuesday 7:00 PM,78.658295962
Wednesday 8:00 AM,97.8583594347
Wednesday 9:00 AM,60.9623670079
Wednesday 10:00 AM,69.3446500655
Wednesday 11:00 AM,74.5383324241
Wednesday 12:00 PM,68.9091716939
Wednesday 1:00 PM,90.31330387
Wednesday 2:00 PM,73.5926779763
Wednesday 3:00 PM,74.7437171498
Wednesday 4:00 PM,82.9531089614
Wednesday 5:00 PM,79.361566584
Wednesday 6:00 PM,72.6232623266
Wednesday 7:00 PM,82.6885535348
Thursday 8:00 AM,67.2578632916
Thursday 9:00 AM,79.1551056746
Thursday 10:00 AM,79.8300114293
Thursday 11:00 AM,59.724313661
Thursday 12:00 PM,82.1826593502
Thursday 1:00 PM,95.5138675383
Thursday 2:00 PM,82.3580717515
Thursday 3:00 PM,80.7881993184
Thursday 4:00 PM,81.7441254429
Thursday 5:00 PM,81.1109952957
Thursday 6:00 PM,89.5802845104
Thursday 7:00 PM,60.802667608
Friday 8:00 AM,75.535229458
Friday 9:00 AM,74.6316675391
Friday 10:00 AM,79.6595078614
Friday 11:00 AM,80.908856419
Friday 12:00 PM,77.6897470849
Friday 1:00 PM,85.9974897797
Friday 2:00 PM,66.196131091
Friday 3:00 PM,87.6801928549
Friday 4:00 PM,82.3283084141
Friday 5:00 PM,82.0618232393
Friday 6:00 PM,79.7735266562
Friday 7:00 PM,58.7682116375
Saturday 8:00 AM,73.2285769616
Saturday 9:00 AM,75.061011515
Saturday 10:00 AM,83.2759178241
Saturday 11:00 AM,76.500541772
Saturday 12:00 PM,67.565365524
Saturday 1:00 PM,65.5917774596
Saturday 2:00 PM,84.3270305943
Saturday 3:00 PM,73.5379813416
Saturday 4:00 PM,84.2001911525
Saturday 5:00 PM,93.0402242695
Saturday 6:00 PM,69.8170131958
Saturday 7:00 PM,85.179183857
